,series_title,Dictionary_liwc_social,Dictionary_liwc_funct
93,Hell_on_Wheels,0.27034817614701456,0.6697397129774746
94,Mad_Men,0.2641026537533653,0.7256389636725988
95,Preacher,0.24070021881838075,0.6087075444772143
96,Rubicon,0.24772473255628294,0.7079674277502794
97,The_Prisoner,0.2878082507490205,0.7962664208342937
98,The_Son,0.26435398920606024,0.6388581832368815
99,The_Terror,0.2601653295915566,0.7401702101699051
100,River_Monsters,0.18533295918904225,0.8143075115312439
101,Wanted,0.25609671848013815,0.66090961427749
102,Dice,0.25617492492492494,0.6452139639639639
103,Iron_Man,0.2386734324030446,0.6973541138093512
104,Wolverine,0.28004956629491945,0.7187112763320942
105,Mohawk_Girls,0.3048215113583681,0.7331942512749189
106,Daria,0.2677241266841578,0.7098524128602742
107,Blade_of_the_Immortal,0.26135245325460427,0.7397722479966259
108,Condor,0.25638297872340426,0.7017730496453901
109,Dice,0.25617492492492494,0.6452139639639639
110,Kingdom,0.2600771837443626,0.6247578622805744
111,Loudermilk,0.2662911717889066,0.670846087914779
112,Rogue,0.2610432446184128,0.6565067774747714
113,Crossing_Lines,0.26927199494024834,0.7149695416264439
114,Crusade,0.24111409924801727,0.7768204320046592
115,Absolutely_Fabulous,0.2303229326226997,0.6543844555888957
116,Almost_Royal,0.252025202520252,0.7126951825617345
117,Atlantis,0.26603370221327965,0.7477992957746479
118,Class,0.25150956768249466,0.7230333097094259
119,Copper,0.2786977570316138,0.6922227156054716
120,Intruders,0.2680818321716303,0.6885127183850819
121,Killing_Eve,0.24790588585681844,0.6497896578682849
122,London_Spy,0.2813910835214447,0.7461202031602708
123,Luther,0.2595662402985478,0.6976797641904865
124,Orphan_Black,0.2594079150491211,0.6563143749398956
125,Prey,0.2674846625766871,0.6606890042472865
126,Ripper_Street,0.2824028087843353,0.7194756149133074
127,The_Game,0.2727610930735931,0.7438785173160173
128,The_Musketeers,0.27236210685741097,0.7108215558610245
129,Torchwood,0.2568369221949809,0.7044934561070363
130,Doctor_Who,0.23508992050994126,0.7213718275182935
131,Crooked_House,0.24022346368715083,0.6846515730667451
132,Detectorists,0.24049551473729175,0.6919436138402392
133,Dirk_Gently,0.2513580852019769,0.7376955438467508
134,Getting_On,0.23624193713525135,0.6963627521245008
135,Legends,0.27066729386465965,0.6838115718029703
136,Alice,0.27725347402838674,0.6921304897079587
137,Call_the_Midwife,0.26990268146781343,0.7394990949944672
138,Casualty,0.2555594197138315,0.6651381160572337
139,Dietland,0.2511106723269819,0.6772139401717839
140,Doctor_Who,0.23508992050994126,0.7213718275182935
141,Merlin,0.26131971286582,0.7221467102748163
142,New_Tricks,0.2644798827153849,0.7320138814133617
143,Our_Girl,0.2691450414014987,0.6928724874181803
144,Sherlock,0.24980289577423276,0.7114467818590429
145,Silent_Witness,0.26816814068034434,0.7171782361194954
146,Waterloo_Road,0.2812446184876328,0.7416213538410729
147,Rillington_Place,0.28276287388220783,0.7067530064754857
148,Bad_Education,0.2639633329272749,0.660068217809721
149,Bluestone_42,0.23408882165433031,0.6566400129666649
150,Bodies,0.25394891432052563,0.7068882990296331
151,Casanova,0.26884486750707487,0.6887059428865449
152,Coupling,0.1486366127706221,0.38161140038366675
153,Cuckoo,0.26276063506752656,0.6782584805806993
154,Gavin_and_Stacey,0.2526395572241905,0.6799746179472265
155,Him_and_Her,0.2610607914015146,0.6759761947304039
156,Ideal,0.2583302690012163,0.6666478092382542
157,Lip_Service,0.26172177731852236,0.716174761043658
158,Lunch_Monkeys,0.2598991893577219,0.6832779048014965
159,Mongrels,0.23035546531713083,0.6385041970968818
160,Monkey_Dust,0.22559690010826827,0.6470454156932018
